다발지식별자,다발지그룹식별자,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6429454,2018045,1114012200,110511001,서울 서울남대문1,서울특별시 중구 회현동2가(한국은행본관입구 부근),7,7,0,5,1,1,126.981285,37.56164432,"{""type"":""Polygon"",""coordinates"":[[[126.98468174,37.56165919],[126.98466719,37.56189480],[126.98462690,37.56212851],[126.98456118,37.56235852],[126.98447052,37.56258311],[126.98435562,37.56280055],[126.98421735,37.56300919],[126.98405676,37.56320744],[126.98387507,37.56339379],[126.98367367,37.56356684],[126.98345409,37.56372525],[126.98321801,37.56386782],[126.98296720,37.56399347],[126.98270360,37.56410124],[126.98242920,37.56419031],[126.98214609,37.56426000],[126.98185643,37.56430979],[126.98156241,37.56433929],[126.98126629,37.56434828],[126.98097031,37.56433669],[126.98067672,37.56430461],[126.98038777,37.56425228],[126.98010564,37.56418010],[126.97983249,37.56408862],[126.97957040,37.56397854],[126.97932135,37.56385070],[126.97908726,37.56370606],[126.97886989,37.56354573],[126.97867090,37.56337093],[126.97849181,37.56318299],[126.97833398,37.56298334],[126.97819861,37.56277350],[126.97808673,37.56255506],[126.97799919,37.56232969],[126.97793666,37.56209911],[126.97789962,37.56186507],[126.97788834,37.56162935],[126.97790291,37.56139374],[126.97794322,37.56116004],[126.97800896,37.56093002],[126.97809963,37.56070544],[126.97821455,37.56048801],[126.97835283,37.56027938],[126.97851343,37.56008113],[126.97869512,37.55989479],[126.97889652,37.55972175],[126.97911610,37.55956335],[126.97935218,37.55942079],[126.97960297,37.55929515],[126.97986657,37.55918738],[126.98014095,37.55909832],[126.98042404,37.55902863],[126.98071369,37.55897884],[126.98100768,37.55894934],[126.98130378,37.55894036],[126.98159974,37.55895195],[126.98189331,37.55898403],[126.98218224,37.55903635],[126.98246435,37.55910852],[126.98273749,37.55919999],[126.98299957,37.55931007],[126.98324860,37.55943791],[126.98348269,37.55958254],[126.98370006,37.55974286],[126.98389905,37.55991765],[126.98407815,37.56010558],[126.98423599,37.56030522],[126.98437137,37.56051506],[126.98448326,37.56073349],[126.98457082,37.56095885],[126.98463337,37.56118943],[126.98467044,37.56142347],[126.98468174,37.56165919]]]}"
6430748,2018045,1111017200,110711001,서울 서울혜화1,서울특별시 종로구 명륜4가(성균관대입구사거리 부근),4,4,0,2,2,0,126.998655,37.58294823,"{""type"":""Polygon"",""coordinates"":[[[127.00205270,37.58296261],[127.00203820,37.58319822],[127.00199795,37.58343193],[127.00193226,37.58366196],[127.00184163,37.58388655],[127.00172675,37.58410401],[127.00158848,37.58431267],[127.00142789,37.58451094],[127.00124620,37.58469732],[127.00104478,37.58487039],[127.00082518,37.58502883],[127.00058905,37.58517144],[127.00033821,37.58529713],[127.00007455,37.58540493],[126.99980009,37.58549405],[126.99951692,37.58556378],[126.99922718,37.58561361],[126.99893309,37.58564315],[126.99863689,37.58565218],[126.99834082,37.58564064],[126.99804714,37.58560860],[126.99775809,37.58555631],[126.99747587,37.58548417],[126.99720262,37.58539274],[126.99694043,37.58528269],[126.99669128,37.58515488],[126.99645708,37.58501028],[126.99623962,37.58484998],[126.99604053,37.58467521],[126.99586135,37.58448730],[126.99570343,37.58428767],[126.99556797,37.58407785],[126.99545601,37.58385943],[126.99536839,37.58363408],[126.99530579,37.58340350],[126.99526868,37.58316947],[126.99525735,37.58293375],[126.99527187,37.58269814],[126.99531213,37.58246443],[126.99537784,37.58223441],[126.99546849,37.58200981],[126.99558339,37.58179237],[126.99572167,37.58158371],[126.99588227,37.58138545],[126.99606397,37.58119907],[126.99626538,37.58102601],[126.99648499,37.58086758],[126.99672110,37.58072498],[126.99697194,37.58059930],[126.99723558,37.58049150],[126.99751003,37.58040240],[126.99779318,37.58033267],[126.99808290,37.58028284],[126.99837697,37.58025330],[126.99867315,37.58024427],[126.99896920,37.58025581],[126.99926286,37.58028785],[126.99955189,37.58034013],[126.99983409,37.58041227],[127.00010733,37.58050370],[127.00036951,37.58061373],[127.00061865,37.58074153],[127.00085284,37.58088613],[127.00107030,37.58104642],[127.00126939,37.58122118],[127.00144858,37.58140909],[127.00160651,37.58160871],[127.00174198,37.58181852],[127.00185396,37.58203694],[127.00194159,37.58226228],[127.00200421,37.58249285],[127.00204134,37.58272689],[127.00205270,37.58296261]]]}"
6429459,2018045,1141011100,110811001,서울 서울서대문1,서울특별시 서대문구 홍제동(에코LG인테리어 부근),7,9,1,2,6,0,126.9467071,37.59259769,"{""type"":""Polygon"",""coordinates"":[[[126.95010515,37.59261357],[126.95009049,37.59284917],[126.95005007,37.59308286],[126.94998421,37.59331286],[126.94989342,37.59353741],[126.94977836,37.59375481],[126.94963994,37.59396341],[126.94947919,37.59416161],[126.94929734,37.59434791],[126.94909578,37.59452089],[126.94887604,37.59467924],[126.94863978,37.59482174],[126.94838882,37.59494731],[126.94812506,37.59505500],[126.94785050,37.59514399],[126.94756724,37.59521360],[126.94727744,37.59526330],[126.94698329,37.59529272],[126.94668704,37.59530162],[126.94639095,37.59528994],[126.94609725,37.59525777],[126.94580820,37.59520535],[126.94552600,37.59513309],[126.94525278,37.59504154],[126.94499063,37.59493138],[126.94474154,37.59480346],[126.94450742,37.59465876],[126.94429003,37.59449836],[126.94409105,37.59432351],[126.94391197,37.59413551],[126.94375417,37.59393582],[126.94361884,37.59372594],[126.94350702,37.59350747],[126.94341955,37.59328208],[126.94335710,37.59305148],[126.94332015,37.59281743],[126.94330898,37.59258171],[126.94332366,37.59234610],[126.94336410,37.59211242],[126.94342997,37.59188242],[126.94352079,37.59165787],[126.94363586,37.59144048],[126.94377430,37.59123189],[126.94393505,37.59103369],[126.94411690,37.59084740],[126.94431847,37.59067443],[126.94453821,37.59051609],[126.94477446,37.59037360],[126.94502541,37.59024803],[126.94528916,37.59014035],[126.94556370,37.59005137],[126.94584694,37.58998176],[126.94613672,37.58993207],[126.94643085,37.58990265],[126.94672708,37.58989375],[126.94702316,37.58990543],[126.94731683,37.58993760],[126.94760586,37.58999001],[126.94788805,37.59006226],[126.94816125,37.59015381],[126.94842339,37.59026396],[126.94867247,37.59039187],[126.94890659,37.59053657],[126.94912397,37.59069696],[126.94932296,37.59087181],[126.94950204,37.59105979],[126.94965985,37.59125948],[126.94979519,37.59146935],[126.94990703,37.59168781],[126.94999452,37.59191320],[126.95005698,37.59214379],[126.95009396,37.59237784],[126.95010515,37.59261357]]]}"
6429460,2018045,1141011700,110811002,서울 서울서대문2,서울특별시 서대문구 연희동(홍연아파트입구 부근),5,5,0,4,1,0,126.9323067,37.57736356,"{""type"":""Polygon"",""coordinates"":[[[126.93570404,37.57737985],[126.93568934,37.57761545],[126.93564888,37.57784914],[126.93558300,37.57807913],[126.93549217,37.57830367],[126.93537711,37.57852106],[126.93523867,37.57872964],[126.93507791,37.57892782],[126.93489607,37.57911410],[126.93469452,37.57928706],[126.93447479,37.57944537],[126.93423856,37.57958785],[126.93398762,37.57971339],[126.93372389,37.57982105],[126.93344938,37.57991001],[126.93316616,37.57997958],[126.93287641,37.58002925],[126.93258231,37.58005863],[126.93228612,37.58006749],[126.93199009,37.58005578],[126.93169647,37.58002357],[126.93140749,37.57997113],[126.93112535,37.57989883],[126.93085220,37.57980724],[126.93059013,37.57969705],[126.93034112,37.57956910],[126.93010707,37.57942437],[126.92988976,37.57926395],[126.92969085,37.57908907],[126.92951185,37.57890105],[126.92935411,37.57870134],[126.92921885,37.57849144],[126.92910710,37.57827296],[126.92901969,37.57804756],[126.92895730,37.57781696],[126.92892040,37.57758290],[126.92890927,37.57734717],[126.92892400,37.57711157],[126.92896447,37.57687789],[126.92903038,37.57664790],[126.92912122,37.57642337],[126.92923630,37.57620598],[126.92937475,37.57599741],[126.92953551,37.57579923],[126.92971736,37.57561296],[126.92991892,37.57544002],[126.93013864,37.57528171],[126.93037487,37.57513924],[126.93062579,37.57501371],[126.93088951,37.57490605],[126.93116401,37.57481710],[126.93144720,37.57474753],[126.93173694,37.57469787],[126.93203101,37.57466849],[126.93232718,37.57465963],[126.93262320,37.57467134],[126.93291680,37.57470354],[126.93320576,37.57475599],[126.93348788,37.57482828],[126.93376101,37.57491986],[126.93402307,37.57503004],[126.93427208,37.57515798],[126.93450612,37.57530271],[126.93472343,37.57546312],[126.93492234,37.57563799],[126.93510135,37.57582600],[126.93525909,37.57602571],[126.93539436,37.57623560],[126.93550614,37.57645407],[126.93559356,37.57667947],[126.93565597,37.57691007],[126.93569289,37.57714413],[126.93570404,37.57737985]]]}"
6429458,2018045,1141011200,110811003,서울 서울서대문3,서울특별시 서대문구 대현동(신촌기차역입구교차로 부근),5,5,0,2,3,0,126.9429467,37.55676537,"{""type"":""Polygon"",""coordinates"":[[[126.94634316,37.55678135],[126.94632849,37.55701695],[126.94628808,37.55725064],[126.94622225,37.55748064],[126.94613148,37.55770519],[126.94601648,37.55792259],[126.94587811,37.55813118],[126.94571743,37.55832938],[126.94553566,37.55851568],[126.94533418,37.55868866],[126.94511454,37.55884699],[126.94487839,37.55898949],[126.94462755,37.55911506],[126.94436391,37.55922274],[126.94408948,37.55931172],[126.94380635,37.55938133],[126.94351668,37.55943102],[126.94322267,37.55946042],[126.94292657,37.55946932],[126.94263061,37.55945763],[126.94233706,37.55942545],[126.94204815,37.55937303],[126.94176609,37.55930076],[126.94149300,37.55920920],[126.94123098,37.55909903],[126.94098202,37.55897110],[126.94074802,37.55882639],[126.94053074,37.55866599],[126.94033186,37.55849113],[126.94015288,37.55830313],[126.93999516,37.55810343],[126.93985991,37.55789354],[126.93974815,37.55767507],[126.93966073,37.55744968],[126.93959832,37.55721908],[126.93956140,37.55698502],[126.93955024,37.55674930],[126.93956493,37.55651369],[126.93960536,37.55628001],[126.93967121,37.55605001],[126.93976200,37.55582546],[126.93987702,37.55560807],[126.94001540,37.55539948],[126.94017609,37.55520129],[126.94035786,37.55501500],[126.94055933,37.55484204],[126.94077898,37.55468371],[126.94101512,37.55454122],[126.94126595,37.55441566],[126.94152958,37.55430798],[126.94180399,37.55421901],[126.94208710,37.55414941],[126.94237675,37.55409972],[126.94267074,37.55407032],[126.94296682,37.55406142],[126.94326276,37.55407311],[126.94355629,37.55410528],[126.94384518,37.55415770],[126.94412723,37.55422997],[126.94440030,37.55432153],[126.94466231,37.55443168],[126.94491126,37.55455960],[126.94514526,37.55470431],[126.94536253,37.55486470],[126.94556141,37.55503955],[126.94574040,37.55522754],[126.94589813,37.55542724],[126.94603340,37.55563712],[126.94614517,37.55585558],[126.94623261,37.55608097],[126.94629503,37.55631157],[126.94633198,37.55654562],[126.94634316,37.55678135]]]}"
6430149,2018045,1138010700,110911001,서울 서울서부1,서울특별시 은평구 응암동(응암오거리 부근),7,8,1,6,1,0,126.9171955,37.59067306,"{""type"":""Polygon"",""coordinates"":[[[126.92059344,37.59068979],[126.92057868,37.59092539],[126.92053818,37.59115907],[126.92047223,37.59138905],[126.92038134,37.59161358],[126.92026621,37.59183095],[126.92012771,37.59203952],[126.91996688,37.59223768],[126.91978497,37.59242393],[126.91958334,37.59259686],[126.91936355,37.59275515],[126.91912724,37.59289759],[126.91887624,37.59302310],[126.91861244,37.59313073],[126.91833786,37.59321965],[126.91805458,37.59328919],[126.91776476,37.59333881],[126.91747061,37.59336815],[126.91717437,37.59337698],[126.91687829,37.59336523],[126.91658461,37.59333299],[126.91629559,37.59328050],[126.91601342,37.59320817],[126.91574025,37.59311654],[126.91547815,37.59300632],[126.91522912,37.59287834],[126.91499506,37.59273358],[126.91477775,37.59257313],[126.91457884,37.59239822],[126.91439984,37.59221019],[126.91424212,37.59201045],[126.91410688,37.59180054],[126.91399515,37.59158205],[126.91390777,37.59135664],[126.91384541,37.59112602],[126.91380856,37.59089196],[126.91379747,37.59065624],[126.91381225,37.59042064],[126.91385278,37.59018696],[126.91391875,37.58995699],[126.91400965,37.58973246],[126.91412480,37.58951509],[126.91426331,37.58930654],[126.91442414,37.58910838],[126.91460606,37.58892214],[126.91480769,37.58874922],[126.91502749,37.58859094],[126.91526378,37.58844850],[126.91551478,37.58832300],[126.91577856,37.58821538],[126.91605313,37.58812647],[126.91633639,37.58805693],[126.91662619,37.58800731],[126.91692032,37.58797797],[126.91721654,37.58796914],[126.91751260,37.58798090],[126.91780625,37.58801313],[126.91809525,37.58806562],[126.91837741,37.58813794],[126.91865057,37.58822956],[126.91891265,37.58833978],[126.91916167,37.58846775],[126.91939573,37.58861251],[126.91961304,37.58877294],[126.91981196,37.58894784],[126.91999096,37.58913587],[126.92014869,37.58933560],[126.92028394,37.58954550],[126.92039569,37.58976399],[126.92048308,37.58998940],[126.92054546,37.59022001],[126.92058234,37.59045407],[126.92059344,37.59068979]]]}"
6429461,2018045,1138010700,110911002,서울 서울서부2,서울특별시 은평구 응암동(명지전문대학입구 부근),5,5,0,4,1,0,126.9228632,37.58541042,"{""type"":""Polygon"",""coordinates"":[[[126.92626091,37.58542698],[126.92624617,37.58566258],[126.92620568,37.58589626],[126.92613976,37.58612625],[126.92604889,37.58635078],[126.92593379,37.58656816],[126.92579531,37.58677673],[126.92563451,37.58697490],[126.92545262,37.58716117],[126.92525103,37.58733411],[126.92503125,37.58749240],[126.92479498,37.58763486],[126.92454400,37.58776038],[126.92428023,37.58786802],[126.92400568,37.58795695],[126.92372242,37.58802651],[126.92343263,37.58807615],[126.92313850,37.58810550],[126.92284228,37.58811434],[126.92254621,37.58810260],[126.92225256,37.58807038],[126.92196356,37.58801790],[126.92168140,37.58794559],[126.92140824,37.58785397],[126.92114615,37.58774377],[126.92089713,37.58761580],[126.92066307,37.58747104],[126.92044576,37.58731061],[126.92024685,37.58713571],[126.92006785,37.58694768],[126.91991013,37.58674796],[126.91977488,37.58653805],[126.91966314,37.58631956],[126.91957575,37.58609415],[126.91951338,37.58586354],[126.91947651,37.58562948],[126.91946541,37.58539376],[126.91948017,37.58515816],[126.91952067,37.58492448],[126.91958662,37.58469450],[126.91967750,37.58446997],[126.91979262,37.58425260],[126.91993111,37.58404403],[126.92009192,37.58384587],[126.92027381,37.58365962],[126.92047541,37.58348669],[126.92069518,37.58332840],[126.92093145,37.58318595],[126.92118241,37.58306044],[126.92144617,37.58295280],[126.92172071,37.58286387],[126.92200395,37.58279433],[126.92229372,37.58274469],[126.92258783,37.58271534],[126.92288403,37.58270650],[126.92318007,37.58271823],[126.92347370,37.58275046],[126.92376269,37.58280293],[126.92404483,37.58287524],[126.92431798,37.58296684],[126.92458006,37.58307705],[126.92482907,37.58320501],[126.92506312,37.58334975],[126.92528043,37.58351018],[126.92547934,37.58368507],[126.92565835,37.58387309],[126.92581608,37.58407281],[126.92595134,37.58428271],[126.92606309,37.58450119],[126.92615050,37.58472659],[126.92621289,37.58495720],[126.92624978,37.58519126],[126.92626091,37.58542698]]]}"
6430140,2018045,1138010900,110911003,서울 서울서부3,서울특별시 은평구 신사동(와산교 부근),4,4,0,3,1,0,126.9130346,37.58886498,"{""type"":""Polygon"",""coordinates"":[[[126.91643248,37.58888183],[126.91641771,37.58911742],[126.91637719,37.58935110],[126.91631123,37.58958108],[126.91622033,37.58980561],[126.91610519,37.59002298],[126.91596668,37.59023153],[126.91580585,37.59042969],[126.91562393,37.59061594],[126.91542230,37.59078886],[126.91520250,37.59094714],[126.91496619,37.59108957],[126.91471519,37.59121507],[126.91445139,37.59132269],[126.91417681,37.59141160],[126.91389354,37.59148113],[126.91360372,37.59153075],[126.91330958,37.59156008],[126.91301334,37.59156889],[126.91271726,37.59155713],[126.91242360,37.59152488],[126.91213459,37.59147238],[126.91185243,37.59140004],[126.91157927,37.59130841],[126.91131718,37.59119817],[126.91106817,37.59107019],[126.91083412,37.59092541],[126.91061682,37.59076496],[126.91041793,37.59059005],[126.91023894,37.59040200],[126.91008124,37.59020226],[126.90994601,37.58999235],[126.90983430,37.58977385],[126.90974693,37.58954843],[126.90968459,37.58931782],[126.90964775,37.58908376],[126.90963668,37.58884803],[126.90965147,37.58861243],[126.90969201,37.58837876],[126.90975799,37.58814878],[126.90984890,37.58792426],[126.90996406,37.58770690],[126.91010258,37.58749835],[126.91026342,37.58730020],[126.91044535,37.58711396],[126.91064698,37.58694105],[126.91086678,37.58678277],[126.91110307,37.58664035],[126.91135407,37.58651485],[126.91161785,37.58640725],[126.91189242,37.58631834],[126.91217567,37.58624882],[126.91246547,37.58619920],[126.91275959,37.58616987],[126.91305581,37.58616106],[126.91335186,37.58617282],[126.91364550,37.58620507],[126.91393450,37.58625756],[126.91421664,37.58632990],[126.91448979,37.58642153],[126.91475186,37.58653175],[126.91500087,37.58665973],[126.91523491,37.58680450],[126.91545221,37.58696494],[126.91565111,37.58713985],[126.91583009,37.58732788],[126.91598781,37.58752761],[126.91612305,37.58773752],[126.91623478,37.58795602],[126.91632216,37.58818143],[126.91638452,37.58841204],[126.91642139,37.58864610],[126.91643248,37.58888183]]]}"
6429795,2018045,1129013300,111111001,서울 서울성북1,서울특별시 성북구 정릉동(정릉역 2번출구 부근),6,7,0,1,6,0,127.0132565,37.60266981,"{""type"":""Polygon"",""coordinates"":[[[127.01665512,37.60268378],[127.01664066,37.60291939],[127.01660045,37.60315311],[127.01653479,37.60338314],[127.01644417,37.60360775],[127.01632930,37.60382522],[127.01619104,37.60403389],[127.01603045,37.60423219],[127.01584874,37.60441859],[127.01564730,37.60459168],[127.01542767,37.60475015],[127.01519151,37.60489279],[127.01494062,37.60501850],[127.01467692,37.60512634],[127.01440241,37.60521549],[127.01411917,37.60528526],[127.01382937,37.60533512],[127.01353520,37.60536470],[127.01323892,37.60537377],[127.01294277,37.60536225],[127.01264901,37.60533025],[127.01235987,37.60527800],[127.01207756,37.60520590],[127.01180422,37.60511449],[127.01154194,37.60500448],[127.01129270,37.60487671],[127.01105841,37.60473213],[127.01084086,37.60457186],[127.01064169,37.60439711],[127.01046242,37.60420922],[127.01030442,37.60400961],[127.01016888,37.60379981],[127.01005685,37.60358140],[127.00996917,37.60335606],[127.00990651,37.60312550],[127.00986934,37.60289146],[127.00985796,37.60265575],[127.00987243,37.60242013],[127.00991267,37.60218642],[127.00997835,37.60195639],[127.01006898,37.60173179],[127.01018387,37.60151433],[127.01032214,37.60130566],[127.01048274,37.60110737],[127.01066446,37.60092098],[127.01086590,37.60074789],[127.01108553,37.60058943],[127.01132168,37.60044681],[127.01157256,37.60032110],[127.01183625,37.60021326],[127.01211075,37.60012413],[127.01239397,37.60005436],[127.01268375,37.60000450],[127.01297789,37.59997492],[127.01327415,37.59996586],[127.01357028,37.59997737],[127.01386402,37.60000937],[127.01415314,37.60006162],[127.01443544,37.60013371],[127.01470876,37.60022511],[127.01497103,37.60033511],[127.01522026,37.60046288],[127.01545454,37.60060745],[127.01567209,37.60076771],[127.01587127,37.60094245],[127.01605054,37.60113033],[127.01620855,37.60132994],[127.01634410,37.60153973],[127.01645615,37.60175813],[127.01654385,37.60198347],[127.01660653,37.60221403],[127.01664371,37.60244806],[127.01665512,37.60268378]]]}"
6429778,2018045,1130510100,111211001,서울 서울강북1,서울특별시 강북구 미아동(삼양사거리역 부근),10,10,0,7,3,0,127.0204536,37.62144905,"{""type"":""Polygon"",""coordinates"":[[[127.02383789,37.62146276],[127.02382351,37.62169732],[127.02378349,37.62193000],[127.02371813,37.62215901],[127.02362791,37.62238263],[127.02351354,37.62259913],[127.02337588,37.62280689],[127.02321598,37.62300431],[127.02303505,37.62318990],[127.02283447,37.62336223],[127.02261578,37.62352001],[127.02238062,37.62366202],[127.02213080,37.62378719],[127.02186821,37.62389457],[127.02159486,37.62398333],[127.02131281,37.62405281],[127.02102423,37.62410247],[127.02073131,37.62413193],[127.02043627,37.62414098],[127.02014136,37.62412954],[127.01984882,37.62409769],[127.01956089,37.62404569],[127.01927976,37.62397393],[127.01900756,37.62388294],[127.01874637,37.62377344],[127.01849816,37.62364624],[127.01826485,37.62350233],[127.01804819,37.62334278],[127.01784984,37.62316882],[127.01767130,37.62298178],[127.01751395,37.62278307],[127.01737896,37.62257420],[127.01726738,37.62235678],[127.01718004,37.62213244],[127.01711762,37.62190291],[127.01708059,37.62166992],[127.01706923,37.62143525],[127.01708363,37.62120068],[127.01712367,37.62096801],[127.01718905,37.62073900],[127.01727928,37.62051539],[127.01739367,37.62029889],[127.01753134,37.62009114],[127.01769125,37.61989372],[127.01787219,37.61970815],[127.01807276,37.61953582],[127.01829146,37.61937805],[127.01852661,37.61923605],[127.01877642,37.61911088],[127.01903900,37.61900351],[127.01931234,37.61891475],[127.01959436,37.61884528],[127.01988292,37.61879563],[127.02017583,37.61876616],[127.02047085,37.61875712],[127.02076574,37.61876856],[127.02105825,37.61880040],[127.02134616,37.61885240],[127.02162728,37.61892416],[127.02189946,37.61901514],[127.02216064,37.61912463],[127.02240884,37.61925182],[127.02264215,37.61939573],[127.02285881,37.61955527],[127.02305716,37.61972922],[127.02323570,37.61991626],[127.02339307,37.62011496],[127.02352806,37.62032382],[127.02363966,37.62054124],[127.02372701,37.62076557],[127.02378945,37.62099510],[127.02382651,37.62122809],[127.02383789,37.62146276]]]}"
