"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
153927,"2013099","1111012300","11110002","서울특별시 종로구2","서울특별시 종로구 서린동(SK빌딩 부근)",4,4,0,1,2,1,126.98106961797,37.5702793062459,"{""type"":""Polygon"",""coordinates"":[[[126.9826705,37.5715535],[126.9823274,37.5717776],[126.981936,37.5719441],[126.9815113,37.5720467],[126.9810696,37.5720813],[126.9806279,37.5720467],[126.9802032,37.5719441],[126.9798118,37.5717776],[126.9794688,37.5715535],[126.9791872,37.5712804],[126.978978,37.5709689],[126.9788492,37.5706308],[126.9788057,37.5702793],[126.9788492,37.5699277],[126.9789781,37.5695897],[126.9791873,37.5692782],[126.9794688,37.5690051],[126.9798119,37.568781],[126.9802033,37.5686145],[126.980628,37.5685119],[126.9810696,37.5684773],[126.9815113,37.5685119],[126.981936,37.5686145],[126.9823274,37.568781],[126.9826704,37.5690051],[126.982952,37.5692782],[126.9831612,37.5695897],[126.98329,37.5699277],[126.9833335,37.5702793],[126.98329,37.5706308],[126.9831612,37.5709689],[126.982952,37.5712804],[126.9826705,37.5715535]]]}"
153931,"2013099","1117012800","11170001","서울특별시 용산구1","서울특별시 용산구 한강로3가(용산대우드림월드3차_한강로_진 부근)",5,5,0,3,2,0,126.961790290091,37.5228683942619,"{""type"":""Polygon"",""coordinates"":[[[126.9633901,37.5241426],[126.9630473,37.5243667],[126.9626561,37.5245332],[126.9622317,37.5246358],[126.9617903,37.5246704],[126.9613489,37.5246358],[126.9609245,37.5245332],[126.9605333,37.5243667],[126.9601904,37.5241426],[126.9599091,37.5238695],[126.9597,37.523558],[126.9595713,37.5232199],[126.9595278,37.5228684],[126.9595713,37.5225168],[126.9597,37.5221788],[126.9599091,37.5218672],[126.9601905,37.5215942],[126.9605333,37.5213701],[126.9609245,37.5212036],[126.9613489,37.521101],[126.9617903,37.5210664],[126.9622317,37.521101],[126.9626561,37.5212036],[126.9630472,37.5213701],[126.9633901,37.5215942],[126.9636715,37.5218672],[126.9638805,37.5221788],[126.9640093,37.5225168],[126.9640528,37.5228684],[126.9640093,37.5232199],[126.9638806,37.523558],[126.9636715,37.5238695],[126.9633901,37.5241426]]]}"
153934,"2013099","1120011400","11200002","서울특별시 성동구2","서울특별시 성동구 성수동1가(두산식품동부영업소 부근)",4,5,0,3,2,0,127.047929260428,37.5407945913982,"{""type"":""Polygon"",""coordinates"":[[[127.0495295,37.5420688],[127.0491866,37.5422929],[127.0487953,37.5424594],[127.0483708,37.542562],[127.0479293,37.5425966],[127.0474878,37.542562],[127.0470632,37.5424594],[127.046672,37.5422929],[127.046329,37.5420688],[127.0460476,37.5417957],[127.0458385,37.5414842],[127.0457097,37.5411461],[127.0456662,37.5407946],[127.0457097,37.540443],[127.0458385,37.540105],[127.0460476,37.5397934],[127.0463291,37.5395204],[127.046672,37.5392963],[127.0470633,37.5391298],[127.0474878,37.5390272],[127.0479293,37.5389926],[127.0483707,37.5390272],[127.0487953,37.5391298],[127.0491865,37.5392963],[127.0495294,37.5395204],[127.0498109,37.5397934],[127.05002,37.540105],[127.0501488,37.540443],[127.0501923,37.5407946],[127.0501488,37.5411461],[127.05002,37.5414842],[127.0498109,37.5417957],[127.0495295,37.5420688]]]}"
153936,"2013099","1121510300","11215014","서울특별시 광진구14","서울특별시 광진구 구의동(결혼의집백악관 부근)",7,7,0,6,1,0,127.088547532744,37.553410773889,"{""type"":""Polygon"",""coordinates"":[[[127.090148,37.554685],[127.089805,37.5549091],[127.0894137,37.5550756],[127.0889891,37.5551781],[127.0885475,37.5552128],[127.088106,37.5551781],[127.0876813,37.5550756],[127.08729,37.5549091],[127.086947,37.554685],[127.0866656,37.5544119],[127.0864564,37.5541003],[127.0863276,37.5537623],[127.0862841,37.5534108],[127.0863276,37.5530592],[127.0864564,37.5527212],[127.0866656,37.5524096],[127.0869471,37.5521366],[127.0872901,37.5519125],[127.0876814,37.5517459],[127.088106,37.5516434],[127.0885475,37.5516088],[127.0889891,37.5516434],[127.0894137,37.5517459],[127.089805,37.5519125],[127.090148,37.5521366],[127.0904295,37.5524096],[127.0906386,37.5527212],[127.0907674,37.5530592],[127.0908109,37.5534108],[127.0907675,37.5537623],[127.0906387,37.5541003],[127.0904295,37.5544119],[127.090148,37.554685]]]}"
154570,"2013099","1121510300","11215011","서울특별시 광진구11","서울특별시 광진구 구의동(아차산역 부근)",6,6,1,4,1,0,127.090742759872,37.5493575851853,"{""type"":""Polygon"",""coordinates"":[[[127.0923432,37.5506318],[127.0920002,37.5508559],[127.0916089,37.5510224],[127.0911843,37.551125],[127.0907428,37.5511596],[127.0903012,37.551125],[127.0898766,37.5510224],[127.0894853,37.5508559],[127.0891423,37.5506318],[127.0888609,37.5503587],[127.0886517,37.5500472],[127.088523,37.5497091],[127.0884795,37.5493576],[127.088523,37.549006],[127.0886518,37.548668],[127.0888609,37.5483564],[127.0891424,37.5480834],[127.0894854,37.5478593],[127.0898767,37.5476928],[127.0903012,37.5475902],[127.0907428,37.5475556],[127.0911843,37.5475902],[127.0916089,37.5476928],[127.0920001,37.5478593],[127.0923431,37.5480834],[127.0926246,37.5483564],[127.0928337,37.548668],[127.0929625,37.549006],[127.093006,37.5493576],[127.0929626,37.5497091],[127.0928338,37.5500472],[127.0926246,37.5503587],[127.0923432,37.5506318]]]}"
154572,"2013099","1121510300","11215007","서울특별시 광진구7","서울특별시 광진구 구의동(자양사거리 부근)",5,5,0,3,2,0,127.083717196692,37.5364509495526,"{""type"":""Polygon"",""coordinates"":[[[127.0853173,37.5377251],[127.0849744,37.5379493],[127.0845832,37.5381158],[127.0841587,37.5382183],[127.0837172,37.538253],[127.0832757,37.5382183],[127.0828512,37.5381158],[127.08246,37.5379493],[127.0821171,37.5377251],[127.0818356,37.5374521],[127.0816265,37.5371405],[127.0814978,37.5368025],[127.0814543,37.5364509],[127.0814978,37.5360994],[127.0816266,37.5357613],[127.0818357,37.5354498],[127.0821171,37.5351767],[127.08246,37.5349526],[127.0828512,37.5347861],[127.0832757,37.5346836],[127.0837172,37.5346489],[127.0841587,37.5346836],[127.0845831,37.5347861],[127.0849744,37.5349526],[127.0853173,37.5351767],[127.0855987,37.5354498],[127.0858078,37.5357613],[127.0859366,37.5360994],[127.0859801,37.5364509],[127.0859366,37.5368025],[127.0858079,37.5371405],[127.0855987,37.5374521],[127.0853173,37.5377251]]]}"
154569,"2013099","1121510900","11215012","서울특별시 광진구12","서울특별시 광진구 군자동(구의사거리 부근)",7,7,0,1,5,1,127.086141920914,37.5448940448252,"{""type"":""Polygon"",""coordinates"":[[[127.0877422,37.5461682],[127.0873993,37.5463923],[127.087008,37.5465589],[127.0865834,37.5466614],[127.0861419,37.546696],[127.0857004,37.5466614],[127.0852758,37.5465589],[127.0848846,37.5463923],[127.0845416,37.5461682],[127.0842602,37.5458952],[127.084051,37.5455836],[127.0839222,37.5452456],[127.0838788,37.544894],[127.0839223,37.5445425],[127.0840511,37.5442044],[127.0842602,37.5438929],[127.0845417,37.5436198],[127.0848846,37.5433957],[127.0852759,37.5432292],[127.0857004,37.5431267],[127.0861419,37.543092],[127.0865834,37.5431267],[127.087008,37.5432292],[127.0873992,37.5433957],[127.0877422,37.5436198],[127.0880236,37.5438929],[127.0882328,37.5442044],[127.0883616,37.5445425],[127.0884051,37.544894],[127.0883616,37.5452456],[127.0882328,37.5455836],[127.0880237,37.5458952],[127.0877422,37.5461682]]]}"
155231,"2013099","1138010200","11380002","서울특별시 은평구2","서울특별시 은평구 녹번동(역촌역 부근)",4,4,0,1,3,0,126.92343250151,37.6056872726504,"{""type"":""Polygon"",""coordinates"":[[[126.9250341,37.6069615],[126.9246909,37.6071856],[126.9242993,37.6073521],[126.9238744,37.6074546],[126.9234325,37.6074893],[126.9229906,37.6074546],[126.9225657,37.6073521],[126.9221741,37.6071856],[126.9218309,37.6069615],[126.9215492,37.6066884],[126.9213399,37.6063768],[126.921211,37.6060388],[126.9211675,37.6056873],[126.921211,37.6053357],[126.9213399,37.6049977],[126.9215493,37.6046861],[126.9218309,37.6044131],[126.9221742,37.604189],[126.9225657,37.6040225],[126.9229906,37.6039199],[126.9234325,37.6038853],[126.9238744,37.6039199],[126.9242993,37.6040225],[126.9246908,37.604189],[126.9250341,37.6044131],[126.9253157,37.6046861],[126.9255251,37.6049977],[126.925654,37.6053357],[126.9256975,37.6056873],[126.925654,37.6060388],[126.9255251,37.6063768],[126.9253158,37.6066884],[126.9250341,37.6069615]]]}"
155240,"2013099","1144011500","11440002","서울특별시 마포구2","서울특별시 마포구 상수동(홍익초교 부근)",5,5,0,1,2,2,126.923120087823,37.5502509015587,"{""type"":""Polygon"",""coordinates"":[[[126.9247205,37.5515251],[126.9243775,37.5517492],[126.9239862,37.5519157],[126.9235616,37.5520183],[126.9231201,37.5520529],[126.9226785,37.5520183],[126.9222539,37.5519157],[126.9218626,37.5517492],[126.9215197,37.5515251],[126.9212382,37.551252],[126.921029,37.5509405],[126.9209003,37.5506024],[126.9208568,37.5502509],[126.9209003,37.5498993],[126.9210291,37.5495613],[126.9212382,37.5492498],[126.9215197,37.5489767],[126.9218627,37.5487526],[126.922254,37.5485861],[126.9226785,37.5484835],[126.9231201,37.5484489],[126.9235616,37.5484835],[126.9239862,37.5485861],[126.9243775,37.5487526],[126.9247205,37.5489767],[126.9250019,37.5492498],[126.9252111,37.5495613],[126.9253399,37.5498993],[126.9253834,37.5502509],[126.9253399,37.5506024],[126.9252111,37.5509405],[126.925002,37.551252],[126.9247205,37.5515251]]]}"
155242,"2013099","1144011100","11440001","서울특별시 마포구1","서울특별시 마포구 신수동(서강고시원 부근)",4,6,0,4,1,1,126.938778925008,37.5494951014187,"{""type"":""Polygon"",""coordinates"":[[[126.9403793,37.5507693],[126.9400364,37.5509934],[126.9396451,37.5511599],[126.9392205,37.5512625],[126.9387789,37.5512971],[126.9383374,37.5512625],[126.9379128,37.5511599],[126.9375215,37.5509934],[126.9371785,37.5507693],[126.936897,37.5504962],[126.9366879,37.5501847],[126.9365591,37.5498466],[126.9365156,37.5494951],[126.9365591,37.5491435],[126.9366879,37.5488055],[126.9368971,37.548494],[126.9371786,37.5482209],[126.9375215,37.5479968],[126.9379128,37.5478303],[126.9383374,37.5477277],[126.9387789,37.5476931],[126.9392205,37.5477277],[126.939645,37.5478303],[126.9400363,37.5479968],[126.9403793,37.5482209],[126.9406608,37.548494],[126.9408699,37.5488055],[126.9409987,37.5491435],[126.9410422,37.5494951],[126.9409987,37.5498466],[126.9408699,37.5501847],[126.9406608,37.5504962],[126.9403793,37.5507693]]]}"
155244,"2013099","1144012500","11440004","서울특별시 마포구4","서울특별시 마포구 성산동(망원2주민센터 부근)",5,5,0,2,2,1,126.905175039098,37.5612973102236,"{""type"":""Polygon"",""coordinates"":[[[126.9067757,37.5625715],[126.9064327,37.5627956],[126.9060413,37.5629621],[126.9056167,37.5630647],[126.905175,37.5630993],[126.9047334,37.5630647],[126.9043088,37.5629621],[126.9039174,37.5627956],[126.9035744,37.5625715],[126.9032929,37.5622984],[126.9030837,37.5619869],[126.9029549,37.5616488],[126.9029114,37.5612973],[126.9029549,37.5609457],[126.9030837,37.5606077],[126.9032929,37.5602962],[126.9035744,37.5600231],[126.9039175,37.559799],[126.9043088,37.5596325],[126.9047334,37.5595299],[126.905175,37.5594953],[126.9056166,37.5595299],[126.9060413,37.5596325],[126.9064326,37.559799],[126.9067756,37.5600231],[126.9070572,37.5602962],[126.9072664,37.5606077],[126.9073952,37.5609457],[126.9074387,37.5612973],[126.9073952,37.5616488],[126.9072664,37.5619869],[126.9070572,37.5622984],[126.9067757,37.5625715]]]}"
154891,"2013099","1123010200","11230004","서울특별시 동대문구4","서울특별시 동대문구 용두동(재덕정밀 부근)",5,5,0,1,4,0,127.033661467604,37.5739149532134,"{""type"":""Polygon"",""coordinates"":[[[127.0352624,37.5751891],[127.0349193,37.5754132],[127.0345279,37.5755798],[127.0341032,37.5756823],[127.0336615,37.5757169],[127.0332198,37.5756823],[127.032795,37.5755798],[127.0324036,37.5754132],[127.0320605,37.5751891],[127.031779,37.5749161],[127.0315698,37.5746045],[127.0314409,37.5742665],[127.0313974,37.5739149],[127.031441,37.5735634],[127.0315698,37.5732253],[127.031779,37.5729138],[127.0320606,37.5726407],[127.0324037,37.5724166],[127.0327951,37.5722501],[127.0332198,37.5721476],[127.0336615,37.572113],[127.0341031,37.5721476],[127.0345279,37.5722501],[127.0349193,37.5724166],[127.0352623,37.5726407],[127.0355439,37.5729138],[127.0357531,37.5732253],[127.035882,37.5735634],[127.0359255,37.5739149],[127.035882,37.5742665],[127.0357532,37.5746045],[127.035544,37.5749161],[127.0352624,37.5751891]]]}"
155524,"2013099","1147010200","11470003","서울특별시 양천구3","서울특별시 양천구 목동(외환은행강서지점 부근)",4,5,0,4,0,1,126.87147623694,37.5469703366126,"{""type"":""Polygon"",""coordinates"":[[[126.8730766,37.5482445],[126.8727336,37.5484686],[126.8723423,37.5486352],[126.8719178,37.5487377],[126.8714762,37.5487723],[126.8710347,37.5487377],[126.8706101,37.5486352],[126.8702188,37.5484686],[126.8698759,37.5482445],[126.8695944,37.5479715],[126.8693853,37.5476599],[126.8692565,37.5473219],[126.869213,37.5469703],[126.8692565,37.5466188],[126.8693853,37.5462807],[126.8695945,37.5459692],[126.8698759,37.5456961],[126.8702189,37.545472],[126.8706102,37.5453055],[126.8710347,37.545203],[126.8714762,37.5451683],[126.8719178,37.545203],[126.8723423,37.5453055],[126.8727336,37.545472],[126.8730765,37.5456961],[126.873358,37.5459692],[126.8735672,37.5462807],[126.873696,37.5466188],[126.8737394,37.5469703],[126.873696,37.5473219],[126.8735672,37.5476599],[126.8733581,37.5479715],[126.8730766,37.5482445]]]}"
154895,"2013099","1123010300","11230007","서울특별시 동대문구7","서울특별시 동대문구 제기동(한천로-천호대교진입로 부근)",5,6,0,2,4,0,127.057775613755,37.5632705028323,"{""type"":""Polygon"",""coordinates"":[[[127.0593763,37.5645447],[127.0590333,37.5647688],[127.0586419,37.5649353],[127.0582173,37.5650379],[127.0577756,37.5650725],[127.057334,37.5650379],[127.0569093,37.5649353],[127.0565179,37.5647688],[127.0561749,37.5645447],[127.0558934,37.5642716],[127.0556842,37.5639601],[127.0555554,37.563622],[127.0555119,37.5632705],[127.0555554,37.5629189],[127.0556842,37.5625809],[127.0558934,37.5622694],[127.056175,37.5619963],[127.056518,37.5617722],[127.0569094,37.5616057],[127.057334,37.5615031],[127.0577756,37.5614685],[127.0582172,37.5615031],[127.0586419,37.5616057],[127.0590332,37.5617722],[127.0593763,37.5619963],[127.0596578,37.5622694],[127.059867,37.5625809],[127.0599958,37.5629189],[127.0600393,37.5632705],[127.0599958,37.563622],[127.059867,37.5639601],[127.0596578,37.5642716],[127.0593763,37.5645447]]]}"
154898,"2013099","1126010500","11260010","서울특별시 중랑구10","서울특별시 중랑구 망우동(망우사거리 부근)",7,7,0,4,1,2,127.100952120045,37.5996363110678,"{""type"":""Polygon"",""coordinates"":[[[127.1025536,37.6009105],[127.1022104,37.6011346],[127.1018188,37.6013011],[127.101394,37.6014037],[127.1009521,37.6014383],[127.1005103,37.6014037],[127.1000854,37.6013011],[127.0996938,37.6011346],[127.0993506,37.6009105],[127.099069,37.6006374],[127.0988597,37.6003259],[127.0987308,37.5999878],[127.0986873,37.5996363],[127.0987308,37.5992847],[127.0988597,37.5989467],[127.099069,37.5986352],[127.0993507,37.5983621],[127.0996939,37.598138],[127.1000854,37.5979715],[127.1005103,37.597869],[127.1009521,37.5978343],[127.101394,37.597869],[127.1018188,37.5979715],[127.1022104,37.598138],[127.1025536,37.5983621],[127.1028352,37.5986352],[127.1030445,37.5989467],[127.1031734,37.5992847],[127.1032169,37.5996363],[127.1031734,37.5999878],[127.1030445,37.6003259],[127.1028353,37.6006374],[127.1025536,37.6009105]]]}"
154904,"2013099","1126010200","11260004","서울특별시 중랑구4","서울특별시 중랑구 상봉동(동부산부인과의원 부근)",5,5,0,0,1,4,127.086370536672,37.59350247516,"{""type"":""Polygon"",""coordinates"":[[[127.0879719,37.5947767],[127.0876287,37.5950008],[127.0872372,37.5951673],[127.0868124,37.5952698],[127.0863705,37.5953045],[127.0859287,37.5952698],[127.0855039,37.5951673],[127.0851124,37.5950008],[127.0847692,37.5947767],[127.0844875,37.5945036],[127.0842783,37.594192],[127.0841494,37.593854],[127.0841059,37.5935025],[127.0841494,37.5931509],[127.0842783,37.5928129],[127.0844876,37.5925013],[127.0847692,37.5922283],[127.0851124,37.5920042],[127.0855039,37.5918377],[127.0859287,37.5917351],[127.0863705,37.5917005],[127.0868123,37.5917351],[127.0872371,37.5918377],[127.0876287,37.5920042],[127.0879718,37.5922283],[127.0882535,37.5925013],[127.0884628,37.5928129],[127.0885916,37.5931509],[127.0886352,37.5935025],[127.0885917,37.593854],[127.0884628,37.594192],[127.0882535,37.5945036],[127.0879719,37.5947767]]]}"
154908,"2013099","1126010300","11260003","서울특별시 중랑구3","서울특별시 중랑구 중화동(중흥초교 부근)",4,4,0,2,1,1,127.083833116606,37.6019685319231,"{""type"":""Polygon"",""coordinates"":[[[127.0854347,37.6032427],[127.0850914,37.6034668],[127.0846999,37.6036333],[127.084275,37.6037359],[127.0838331,37.6037705],[127.0833913,37.6037359],[127.0829664,37.6036333],[127.0825748,37.6034668],[127.0822316,37.6032427],[127.0819499,37.6029696],[127.0817406,37.6026581],[127.0816117,37.6023201],[127.0815682,37.6019685],[127.0816118,37.601617],[127.0817407,37.6012789],[127.08195,37.6009674],[127.0822316,37.6006943],[127.0825748,37.6004702],[127.0829664,37.6003037],[127.0833913,37.6002012],[127.0838331,37.6001666],[127.084275,37.6002012],[127.0846998,37.6003037],[127.0850914,37.6004702],[127.0854346,37.6006943],[127.0857163,37.6009674],[127.0859256,37.6012789],[127.0860545,37.601617],[127.086098,37.6019685],[127.0860545,37.6023201],[127.0859256,37.6026581],[127.0857163,37.6029696],[127.0854347,37.6032427]]]}"
155201,"2013099","1129013800","11290003","서울특별시 성북구3","서울특별시 성북구 장위동(장위사거리 부근)",6,6,0,1,3,2,127.060903023257,37.6132393709012,"{""type"":""Polygon"",""coordinates"":[[[127.0625048,37.6145136],[127.0621615,37.6147377],[127.0617699,37.6149042],[127.061345,37.6150067],[127.060903,37.6150413],[127.0604611,37.6150067],[127.0600361,37.6149042],[127.0596445,37.6147377],[127.0593012,37.6145136],[127.0590195,37.6142405],[127.0588102,37.6139289],[127.0586813,37.6135909],[127.0586378,37.6132393],[127.0586813,37.6128878],[127.0588103,37.6125498],[127.0590196,37.6122382],[127.0593013,37.6119652],[127.0596446,37.6117411],[127.0600362,37.6115746],[127.0604611,37.611472],[127.060903,37.6114374],[127.0613449,37.611472],[127.0617699,37.6115746],[127.0621615,37.6117411],[127.0625047,37.6119652],[127.0627865,37.6122382],[127.0629958,37.6125498],[127.0631247,37.6128878],[127.0631682,37.6132393],[127.0631247,37.6135909],[127.0629958,37.6139289],[127.0627865,37.6142405],[127.0625048,37.6145136]]]}"
155203,"2013099","1129013700","11290002","서울특별시 성북구2","서울특별시 성북구 상월곡동(월곡중학교앞 부근)",4,4,0,1,3,0,127.049176020258,37.6067784182903,"{""type"":""Polygon"",""coordinates"":[[[127.0507777,37.6080526],[127.0504344,37.6082767],[127.0500428,37.6084432],[127.0496179,37.6085458],[127.049176,37.6085804],[127.0487341,37.6085458],[127.0483092,37.6084432],[127.0479176,37.6082767],[127.0475744,37.6080526],[127.0472927,37.6077795],[127.0470834,37.607468],[127.0469545,37.6071299],[127.046911,37.6067784],[127.0469545,37.6064268],[127.0470834,37.6060888],[127.0472927,37.6057773],[127.0475744,37.6055042],[127.0479177,37.6052801],[127.0483093,37.6051136],[127.0487341,37.6050111],[127.049176,37.6049764],[127.0496179,37.6050111],[127.0500428,37.6051136],[127.0504344,37.6052801],[127.0507776,37.6055042],[127.0510593,37.6057773],[127.0512686,37.6060888],[127.0513975,37.6064268],[127.051441,37.6067784],[127.0513975,37.6071299],[127.0512686,37.607468],[127.0510593,37.6077795],[127.0507777,37.6080526]]]}"
155207,"2013099","1132010600","11320005","서울특별시 도봉구5","서울특별시 도봉구 방학동(동부센트리빌아파트 부근)",6,6,1,2,2,1,127.039161124088,37.6629110795836,"{""type"":""Polygon"",""coordinates"":[[[127.040764,37.6641852],[127.0404205,37.6644093],[127.0400286,37.6645759],[127.0396034,37.6646784],[127.0391611,37.664713],[127.0387189,37.6646784],[127.0382937,37.6645759],[127.0379018,37.6644093],[127.0375583,37.6641852],[127.0372764,37.6639122],[127.0370669,37.6636006],[127.0369379,37.6632626],[127.0368944,37.6629111],[127.036938,37.6625595],[127.037067,37.6622215],[127.0372764,37.6619099],[127.0375583,37.6616369],[127.0379018,37.6614128],[127.0382937,37.6612463],[127.0387189,37.6611437],[127.0391611,37.6611091],[127.0396033,37.6611437],[127.0400285,37.6612463],[127.0404204,37.6614128],[127.0407639,37.6616369],[127.0410458,37.6619099],[127.0412553,37.6622215],[127.0413843,37.6625595],[127.0414279,37.6629111],[127.0413843,37.6632626],[127.0412553,37.6636006],[127.0410459,37.6639122],[127.040764,37.6641852]]]}"
155210,"2013099","1135010600","11350007","서울특별시 노원구7","서울특별시 노원구 중계동(양지근린공원앞 부근)",6,6,0,2,2,2,127.075982938063,37.647696801567,"{""type"":""Polygon"",""coordinates"":[[[127.0775855,37.648971],[127.077242,37.6491951],[127.0768502,37.6493616],[127.0764251,37.6494641],[127.0759829,37.6494988],[127.0755408,37.6494641],[127.0751157,37.6493616],[127.0747238,37.6491951],[127.0743804,37.648971],[127.0740986,37.6486979],[127.0738892,37.6483864],[127.0737602,37.6480483],[127.0737167,37.6476968],[127.0737602,37.6473452],[127.0738892,37.6470072],[127.0740986,37.6466957],[127.0743805,37.6464226],[127.0747239,37.6461985],[127.0751157,37.646032],[127.0755408,37.6459295],[127.0759829,37.6458948],[127.0764251,37.6459295],[127.0768502,37.646032],[127.077242,37.6461985],[127.0775854,37.6464226],[127.0778672,37.6466957],[127.0780767,37.6470072],[127.0782056,37.6473452],[127.0782492,37.6476968],[127.0782057,37.6480483],[127.0780767,37.6483864],[127.0778673,37.6486979],[127.0775855,37.648971]]]}"
155212,"2013099","1135010500","11350005","서울특별시 노원구5","서울특별시 노원구 상계동(노원역_일반국도3호선_진입_1 부근)",5,5,0,3,2,0,127.060590948615,37.6551036170392,"{""type"":""Polygon"",""coordinates"":[[[127.0621936,37.6563778],[127.0618502,37.6566019],[127.0614583,37.6567684],[127.0610331,37.656871],[127.0605909,37.6569056],[127.0601488,37.656871],[127.0597236,37.6567684],[127.0593317,37.6566019],[127.0589883,37.6563778],[127.0587064,37.6561047],[127.058497,37.6557932],[127.058368,37.6554551],[127.0583245,37.6551036],[127.058368,37.6547521],[127.058497,37.654414],[127.0587065,37.6541025],[127.0589883,37.6538294],[127.0593318,37.6536053],[127.0597236,37.6534388],[127.0601488,37.6533363],[127.0605909,37.6533017],[127.0610331,37.6533363],[127.0614583,37.6534388],[127.0618501,37.6536053],[127.0621936,37.6538294],[127.0624754,37.6541025],[127.0626849,37.654414],[127.0628139,37.6547521],[127.0628574,37.6551036],[127.0628139,37.6554551],[127.0626849,37.6557932],[127.0624755,37.6561047],[127.0621936,37.6563778]]]}"
155215,"2013099","1135010300","11350002","서울특별시 노원구2","서울특별시 노원구 공릉동(중랑구-노원구경계(6) 부근)",4,4,0,1,2,1,127.075935057258,37.6172629584197,"{""type"":""Polygon"",""coordinates"":[[[127.0775369,37.6185371],[127.0771936,37.6187612],[127.076802,37.6189278],[127.076377,37.6190303],[127.0759351,37.6190649],[127.0754931,37.6190303],[127.0750681,37.6189278],[127.0746765,37.6187612],[127.0743332,37.6185371],[127.0740515,37.6182641],[127.0738421,37.6179525],[127.0737132,37.6176145],[127.0736697,37.6172629],[127.0737133,37.6169114],[127.0738422,37.6165734],[127.0740515,37.6162618],[127.0743332,37.6159888],[127.0746765,37.6157647],[127.0750682,37.6155981],[127.0754931,37.6154956],[127.0759351,37.615461],[127.076377,37.6154956],[127.0768019,37.6155981],[127.0771936,37.6157647],[127.0775369,37.6159888],[127.0778186,37.6162618],[127.0780279,37.6165734],[127.0781569,37.6169114],[127.0782004,37.6172629],[127.0781569,37.6176145],[127.078028,37.6179525],[127.0778186,37.6182641],[127.0775369,37.6185371]]]}"
155223,"2013099","1138010400","11380008","서울특별시 은평구8","서울특별시 은평구 갈현동(길마독사거리 부근)",9,10,0,2,6,2,126.917614529088,37.6156750470666,"{""type"":""Polygon"",""coordinates"":[[[126.9192164,37.6169492],[126.9188731,37.6171733],[126.9184814,37.6173399],[126.9180565,37.6174424],[126.9176145,37.617477],[126.9171726,37.6174424],[126.9167476,37.6173399],[126.916356,37.6171733],[126.9160127,37.6169492],[126.915731,37.6166762],[126.9155217,37.6163646],[126.9153928,37.6160266],[126.9153492,37.615675],[126.9153928,37.6153235],[126.9155217,37.6149854],[126.915731,37.6146739],[126.9160128,37.6144008],[126.916356,37.6141768],[126.9167477,37.6140102],[126.9171726,37.6139077],[126.9176145,37.6138731],[126.9180565,37.6139077],[126.9184814,37.6140102],[126.918873,37.6141768],[126.9192163,37.6144008],[126.919498,37.6146739],[126.9197074,37.6149854],[126.9198363,37.6153235],[126.9198798,37.615675],[126.9198363,37.6160266],[126.9197074,37.6163646],[126.9194981,37.6166762],[126.9192164,37.6169492]]]}"
