행정구역,2012년_총인구수,2013년_총인구수,2014년_총인구수,2015년_총인구수,2016년_총인구수,2017년_총인구수,2018년_총인구수,2019년_총인구수
서울특별시 종로구 (1111000000),"165,207","160,070","156,993","154,986","152,737","154,770","153,065","151,290"
서울특별시 중구 (1114000000),"133,360","130,465","128,065","125,733","125,249","125,709","125,725","126,171"
서울특별시 용산구 (1117000000),"243,232","239,740","235,951","233,342","230,241","229,161","228,999","228,670"
서울특별시 성동구 (1120000000),"299,604","299,337","296,086","297,003","299,259","304,808","308,221","300,889"
서울특별시 광진구 (1121500000),"371,313","368,927","363,354","360,369","357,215","357,703","355,559","351,350"
서울특별시 동대문구 (1123000000),"363,258","364,273","363,687","360,153","355,069","350,647","348,052","346,194"
서울특별시 중랑구 (1126000000),"419,295","416,798","418,836","413,909","411,005","408,226","403,209","397,015"
서울특별시 성북구 (1129000000),"481,857","476,589","466,706","459,275","450,355","444,055","435,868","442,650"
서울특별시 강북구 (1130500000),"343,157","338,707","335,025","330,873","327,195","324,479","319,164","313,954"
서울특별시 도봉구 (1132000000),"362,270","358,582","353,709","351,242","348,220","344,166","339,413","333,362"
서울특별시 노원구 (1135000000),"597,189","590,479","582,552","574,583","567,581","554,403","543,752","532,905"
서울특별시 은평구 (1138000000),"501,480","503,660","498,644","497,920","491,476","486,794","483,197","480,032"
서울특별시 서대문구 (1141000000),"315,113","314,110","310,376","312,141","314,194","312,800","310,313","309,397"
서울특별시 마포구 (1144000000),"384,644","381,856","385,439","387,643","379,892","374,915","375,077","374,035"
서울특별시 양천구 (1147000000),"495,911","492,528","486,221","484,532","477,739","471,154","464,185","458,165"
서울특별시 강서구 (1150000000),"567,431","569,070","585,160","589,074","595,485","601,691","596,949","591,796"
서울특별시 구로구 (1153000000),"427,520","424,964","425,831","422,092","417,551","410,742","404,497","406,664"
서울특별시 금천구 (1154500000),"243,288","241,020","238,463","236,284","235,386","235,154","233,917","232,810"
서울특별시 영등포구 (1156000000),"391,408","386,471","382,352","378,504","370,613","368,550","367,778","367,678"
서울특별시 동작구 (1159000000),"405,491","410,815","407,470","400,641","400,997","396,217","396,203","395,963"
서울특별시 관악구 (1162000000),"523,029","518,028","513,186","509,663","506,851","503,297","501,957","500,094"
서울특별시 서초구 (1165000000),"435,044","441,763","449,678","446,764","447,192","441,102","433,951","430,826"
서울특별시 강남구 (1168000000),"564,197","563,599","578,114","576,495","567,115","556,164","542,364","545,169"
서울특별시 송파구 (1171000000),"673,115","668,415","664,738","660,302","657,831","664,496","666,635","675,961"
서울특별시 강동구 (1174000000),"487,905","483,379","476,597","458,658","444,168","436,223","427,573","436,067"
부산광역시 중구 (2611000000),"48,148","47,345","46,737","45,816","45,208","44,218","42,795","41,910"
부산광역시 서구 (2614000000),"120,828","118,783","118,115","115,963","112,973","110,039","110,534","108,229"
부산광역시 동구 (2617000000),"98,529","96,011","94,565","92,069","89,826","88,868","86,912","88,165"
부산광역시 영도구 (2620000000),"139,765","135,816","132,102","129,385","126,362","123,521","120,109","116,711"
부산광역시 부산진구 (2623000000),"392,731","389,765","387,378","381,572","376,526","371,703","362,357","357,880"
부산광역시 동래구 (2626000000),"278,767","276,689","275,971","272,837","272,745","270,727","266,515","271,247"
부산광역시 남구 (2629000000),"291,175","291,770","286,989","283,101","278,779","273,854","279,917","274,480"
부산광역시 북구 (2632000000),"312,937","309,719","306,974","310,484","310,202","302,924","296,952","291,132"
부산광역시 해운대구 (2635000000),"428,188","425,536","423,531","422,818","419,853","412,039","409,347","406,102"
부산광역시 사하구 (2638000000),"352,726","349,110","343,371","337,781","334,603","333,301","327,791","321,004"
부산광역시 금정구 (2641000000),"255,692","253,526","249,856","246,026","244,624","244,469","242,956","239,062"
부산광역시 강서구 (2644000000),"65,806","69,873","79,619","94,608","108,909","117,382","122,957","129,566"
부산광역시 연제구 (2647000000),"211,536","209,290","208,012","210,718","207,268","206,742","207,840","209,395"
부산광역시 수영구 (2650000000),"176,666","175,098","178,480","179,795","179,324","179,996","176,246","176,148"
부산광역시 사상구 (2653000000),"250,424","246,797","242,953","237,711","232,800","229,219","223,361","218,094"
부산광역시 기장군 (2671000000),"114,566","132,507","144,748","153,093","158,527","161,651","164,864","164,716"
대구광역시 중구 (2711000000),"75,439","76,246","78,812","80,928","79,712","78,986","79,401","77,421"
대구광역시 동구 (2714000000),"342,092","343,802","347,975","349,728","351,352","349,379","351,291","345,469"
대구광역시 서구 (2717000000),"220,211","215,399","210,770","206,028","199,507","191,992","184,372","175,277"
대구광역시 남구 (2720000000),"168,715","166,062","163,492","160,852","156,433","152,845","150,501","148,113"
대구광역시 북구 (2723000000),"448,485","444,359","444,375","443,119","440,383","441,375","439,489","437,710"
대구광역시 수성구 (2726000000),"459,779","461,004","456,505","451,786","447,011","439,211","432,759","428,614"
대구광역시 달서구 (2729000000),"606,557","610,358","606,433","602,641","591,891","578,068","573,413","568,887"
대구광역시 달성군 (2771000000),"184,366","184,358","184,902","192,747","218,268","243,375","250,543","256,540"
인천광역시 중구 (2811000000),"98,648","107,774","111,929","114,493","115,249","117,999","122,499","135,135"
인천광역시 동구 (2814000000),"76,720","75,093","73,978","72,571","71,014","69,487","66,233","64,427"
인천광역시 미추홀구 (2817700000),"414,500","411,330","408,305","404,893","417,103","419,267","416,542","408,862"
인천광역시 연수구 (2818500000),"292,589","300,305","310,703","319,052","328,627","335,142","346,359","366,550"
인천광역시 남동구 (2820000000),"503,597","507,021","514,656","531,395","530,982","536,578","537,161","532,704"
인천광역시 부평구 (2823700000),"559,047","556,985","556,992","555,844","549,716","539,941","524,640","511,577"
인천광역시 계양구 (2824500000),"342,202","343,806","339,538","334,332","330,284","323,784","312,680","303,471"
인천광역시 서구 (2826000000),"469,887","490,035","498,686","504,606","510,733","516,017","538,596","544,556"
인천광역시 강화군 (2871000000),"66,752","66,735","67,118","67,667","68,010","68,754","68,896","69,178"
인천광역시 옹진군 (2872000000),"20,039","20,698","20,703","20,962","21,351","21,573","21,036","20,566"
광주광역시 동구 (2911000000),"105,580","103,016","100,786","98,784","95,791","95,448","94,475","98,585"
광주광역시 서구 (2914000000),"316,545","315,276","310,317","305,028","309,579","306,957","304,172","300,975"
광주광역시 남구 (2915500000),"218,313","216,254","219,815","221,318","219,729","218,454","216,369","218,060"
