발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
2019-01-01,0,1,1,1,0,0,0,경기,안산시,1,9,5,0,0,0,2,126.8571,37.2883,경기안산시,0,승용차승용차,0,1,0,2,0,0
2019-01-01,1,1,1,1,0,0,0,경북,청도군,1,8,0,1,2,0,12,128.6092,35.6501,경북청도군,0,승용차기타,0,1,0,3,0,0
2019-01-02,0,2,1,3,1,0,0,충북,충주시,1,5,0,0,0,5,3,127.8268,37.0295,충북충주시,0,특수차화물차,0,0,0,6,0,0
2019-01-02,1,2,1,1,0,0,0,인천,계양구,1,1,0,0,0,0,12,126.7064,37.5254,인천계양구,0,승용차기타,0,0,0,7,0,0
2019-01-02,1,2,1,1,0,0,0,경기,광주시,1,8,5,1,2,7,2,127.2568,37.4168,경기광주시,0,자전거승용차,0,0,0,9,0,0
2019-01-02,1,2,1,1,0,0,0,충남,서천군,1,12,0,0,0,1,1,126.6255,36.1507,충남서천군,0,화물차없음,0,0,0,10,0,0
2019-01-02,0,2,1,1,0,0,0,전북,정읍시,1,5,0,0,0,0,5,126.8838,35.6968,전북정읍시,0,승용차자전거,0,0,0,12,0,0
2019-01-02,0,2,1,1,0,0,0,경남,김해시,1,5,0,0,0,1,5,128.8078,35.3166,경남김해시,0,화물차자전거,0,0,0,13,0,0
2019-01-03,0,3,1,1,0,0,0,전남,영암군,1,6,5,0,0,0,1,126.3878,34.7408,전남영암군,0,승용차없음,0,0,0,16,0,0
2019-01-03,1,3,1,1,0,0,0,울산,울주군,1,11,0,0,0,0,1,129.2136,35.649,울산울주군,0,승용차없음,0,0,0,17,0,0
2019-01-03,0,3,1,1,0,0,0,충남,공주시,1,9,6,0,0,4,3,127.1256,36.5076,충남공주시,0,이륜차화물차,0,0,0,19,0,0
2019-01-04,0,4,1,1,0,0,0,경기,안산시,1,1,6,1,3,7,2,126.7943,37.3347,경기안산시,0,자전거승용차,0,0,0,2,0,0
2019-01-04,1,4,1,1,0,0,0,경북,칠곡군,1,1,0,0,0,3,2,128.4802,36.0257,경북칠곡군,0,건설기계승용차,0,0,0,21,0,0
2019-01-04,1,4,1,1,0,0,0,경기,평택시,1,9,6,1,1,1,2,126.9529,37.0396,경기평택시,0,화물차승용차,0,0,0,14,0,0
2019-01-05,0,5,1,1,0,0,0,전북,전주시,1,6,0,0,0,0,1,127.1206,35.8338,전북전주시,0,승용차없음,0,1,0,11,0,0
2019-01-05,1,5,1,3,0,1,0,대구,동구,1,8,0,2,4,1,3,128.6476,35.9462,대구동구,0,화물차화물차,0,1,0,26,0,0
2019-01-05,1,5,1,3,0,1,0,전남,순천시,1,5,0,0,0,1,3,127.5473,34.9083,전남순천시,0,화물차화물차,0,1,0,27,0,0
2019-01-06,0,6,1,1,0,0,0,전북,완주군,1,11,0,0,0,0,1,127.0634,35.7935,전북완주군,0,승용차없음,0,1,0,28,0,0
2019-01-06,1,6,1,1,0,0,0,대구,달성군,1,8,2,1,1,4,11,128.4355,35.6303,대구달성군,0,이륜차특수차,0,1,0,30,0,0
2019-01-06,1,6,1,7,2,1,0,강원,횡성군,1,9,5,0,0,0,2,128.2572,37.581,강원횡성군,1,승용차승용차,0,1,0,31,0,0
2019-01-06,1,6,1,1,0,0,0,충북,보은군,1,12,0,0,0,6,1,127.6964,36.445,충북보은군,0,원동기장치자전거없음,0,1,0,32,0,0
2019-01-06,1,6,1,5,1,1,0,전남,나주시,1,9,6,1,1,1,2,126.6918,34.9711,전남나주시,0,화물차승용차,0,1,0,33,0,0
2019-01-06,0,6,1,3,0,1,0,강원,원주시,1,6,0,0,0,0,1,127.9798,37.412,강원원주시,0,승용차없음,0,1,0,36,0,0
2019-01-07,0,0,1,1,0,0,0,경남,거제시,1,1,6,1,1,2,4,128.6261,34.8879,경남거제시,0,승합차이륜차,0,0,0,15,0,0
2019-01-07,0,0,1,1,0,0,0,경기,고양시,1,8,0,0,0,0,4,126.8571,37.645,경기고양시,0,승용차이륜차,0,0,0,40,0,0
2019-01-07,0,0,1,3,0,1,0,경기,이천시,1,5,0,1,1,0,3,127.4338,37.2316,경기이천시,0,승용차화물차,0,0,0,41,0,0
2019-01-08,0,1,1,1,0,0,0,경남,진주시,1,11,0,0,0,0,1,128.2479,35.1895,경남진주시,0,승용차없음,0,0,0,42,0,0
2019-01-08,0,1,1,1,0,0,0,인천,부평구,1,1,0,0,0,2,4,126.7149,37.4911,인천부평구,0,승합차이륜차,0,0,0,44,0,0
2019-01-08,1,1,1,1,0,0,0,충남,당진시,1,8,0,0,0,7,9,126.7839,36.9447,충남당진시,0,자전거건설기계,0,0,0,46,0,0
2019-01-08,0,1,1,1,0,0,0,경기,평택시,1,9,0,1,1,0,4,127.1186,36.991,경기평택시,0,승용차이륜차,0,0,0,14,0,0
2019-01-08,0,1,1,2,0,0,1,경기,안성시,1,1,0,1,1,1,4,127.2429,37.0126,경기안성시,0,화물차이륜차,0,0,0,23,0,0
2019-01-10,1,3,1,1,0,0,0,충남,아산시,1,11,0,0,0,0,1,127.0003,36.8771,충남아산시,0,승용차없음,0,0,0,53,0,0
2019-01-10,1,3,1,1,0,0,0,경북,영덕군,1,6,0,0,0,4,1,129.4028,36.5969,경북영덕군,0,이륜차없음,0,0,0,54,0,0
2019-01-10,1,3,1,1,0,0,0,경북,예천군,1,5,0,0,0,1,5,128.416,36.6365,경북예천군,0,화물차자전거,0,0,0,55,0,0
2019-01-10,1,3,1,1,0,0,0,전남,장흥군,1,8,0,1,1,7,2,126.9097,34.68,전남장흥군,0,자전거승용차,0,0,0,56,0,0
2019-01-10,1,3,1,1,0,0,0,경남,사천시,1,8,0,0,0,0,7,127.9691,35.0392,경남사천시,0,승용차원동기장치자전거,0,0,0,57,0,0
2019-01-10,0,3,1,1,0,0,0,충북,충주시,1,1,2,2,4,0,2,127.7747,36.9629,충북충주시,0,승용차승용차,0,0,0,6,0,0
2019-01-10,0,3,1,5,2,0,0,경북,상주시,1,8,6,1,1,0,2,128.2907,36.377,경북상주시,1,승용차승용차,0,0,0,58,0,0
