index,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
0,2019-01-01,0,1,1,1,0,0,0,부산,해운대구,0,1,5,1,1,0,0,129.1525,35.1579,부산해운대구,0,0,0,1,0,1,1,1
3,2019-01-01,0,1,1,1,0,0,0,대전,서구,0,0,0,1,2,0,0,127.3796,36.3559,대전서구,0,0,0,1,0,4,1,1
4,2019-01-01,0,1,1,1,0,0,0,경북,영천시,0,1,0,0,0,0,0,128.915,35.8995,경북영천시,0,0,0,1,0,5,1,1
7,2019-01-02,1,2,1,1,0,0,0,서울,중구,0,0,0,0,0,3,0,126.9953,37.5684,서울중구,0,3,0,0,0,8,1,1
10,2019-01-02,1,2,1,1,0,0,0,전북,전주시,0,0,0,0,0,0,0,127.1425,35.8084,전북전주시,0,0,0,0,0,11,1,1
13,2019-01-02,0,2,1,1,0,0,0,경기,평택시,0,1,0,0,0,0,0,127.067,36.9957,경기평택시,0,0,0,0,0,14,1,1
14,2019-01-02,0,2,1,1,0,0,0,경남,거제시,0,1,0,1,1,0,0,128.6164,34.8898,경남거제시,0,0,0,0,0,15,1,1
17,2019-01-03,1,3,1,3,0,1,0,서울,노원구,0,1,0,0,0,1,0,127.0705,37.6619,서울노원구,0,1,0,0,0,18,1,1
18,2019-01-03,1,3,1,1,0,0,0,서울,중구,0,0,0,0,0,2,0,126.9888,37.5624,서울중구,0,2,0,0,0,8,1,1
21,2019-01-04,1,4,1,1,0,0,0,대구,달서구,0,0,0,0,0,1,0,128.5033,35.8519,대구달서구,0,1,0,0,0,20,1,1
24,2019-01-04,1,4,1,1,0,0,0,경기,여주시,0,0,0,1,2,1,0,127.6372,37.2966,경기여주시,0,1,0,0,0,22,1,1
25,2019-01-05,0,5,1,1,0,0,0,경기,안성시,0,1,0,0,0,0,0,127.2208,37.0106,경기안성시,0,0,0,1,0,23,1,1
27,2019-01-05,0,5,1,1,0,0,0,강원,평창군,0,2,0,0,0,0,0,128.3276,37.6003,강원평창군,0,0,0,1,0,24,1,1
28,2019-01-05,0,5,1,1,0,0,0,부산,사하구,0,0,0,0,0,0,0,128.9779,35.0691,부산사하구,0,0,0,1,0,25,1,1
32,2019-01-06,0,6,1,3,1,0,0,인천,남동구,0,1,0,1,2,0,0,126.7298,37.4485,인천남동구,0,0,0,1,0,29,1,1
37,2019-01-06,0,6,1,1,0,0,0,전북,김제시,0,1,0,0,0,0,0,126.8966,35.8063,전북김제시,0,0,0,1,0,34,1,1
38,2019-01-06,0,6,1,1,0,0,0,인천,연수구,0,0,0,0,0,0,0,126.6528,37.4029,인천연수구,0,0,0,1,0,35,1,1
41,2019-01-07,0,0,1,1,0,0,0,대구,수성구,0,0,0,0,0,1,0,128.6407,35.8741,대구수성구,0,1,0,0,0,37,1,1
42,2019-01-07,1,0,1,1,0,0,0,충남,홍성군,0,0,0,0,0,0,0,126.6634,36.5987,충남홍성군,0,0,0,0,0,38,1,1
43,2019-01-07,0,0,1,1,0,0,0,대전,중구,0,0,0,1,1,2,0,127.4106,36.3098,대전중구,0,2,0,0,0,39,1,1
47,2019-01-08,0,1,1,1,0,0,0,서울,강서구,0,0,0,1,1,0,0,126.8673,37.5541,서울강서구,0,0,0,0,0,43,1,1
49,2019-01-08,1,1,1,1,0,0,0,부산,수영구,0,1,0,1,1,0,0,129.1108,35.1429,부산수영구,0,0,0,0,0,45,1,1
51,2019-01-08,1,1,1,1,0,0,0,경기,김포시,0,0,0,0,0,1,0,126.6033,37.6872,경기김포시,0,1,0,0,0,47,1,1
52,2019-01-08,1,1,1,1,0,0,0,울산,울주군,0,0,0,0,0,0,0,129.3381,35.4265,울산울주군,0,0,0,0,0,17,1,1
54,2019-01-08,0,1,1,1,0,0,0,경기,양평군,0,0,0,1,1,0,0,127.6274,37.506,경기양평군,0,0,0,0,0,48,1,1
55,2019-01-08,0,1,1,3,0,1,0,경남,양산시,0,1,0,1,2,0,0,129.1573,35.3987,경남양산시,0,0,0,0,0,49,1,1
56,2019-01-08,0,1,1,1,0,0,0,충남,홍성군,0,2,2,0,0,0,0,126.6443,36.5908,충남홍성군,0,0,0,0,0,38,1,1
58,2019-01-09,1,2,1,1,0,0,0,충남,공주시,0,1,2,0,0,0,0,127.1492,36.6056,충남공주시,0,0,0,0,0,19,1,1
59,2019-01-09,0,2,1,3,1,0,0,경기,화성시,0,0,0,0,0,1,0,126.9105,37.1322,경기화성시,0,1,0,0,0,50,1,1
60,2019-01-10,0,3,1,7,2,1,0,경기,용인시,0,1,0,0,0,1,0,127.24,37.2471,경기용인시,1,1,0,0,0,51,1,1
61,2019-01-10,0,3,1,1,0,0,0,경북,경산시,0,0,0,0,0,0,0,128.8239,35.9076,경북경산시,0,0,0,0,0,52,1,1
67,2019-01-10,0,3,1,1,0,0,0,경기,고양시,0,0,1,1,1,1,0,126.878,37.5957,경기고양시,0,1,0,0,0,40,1,0
73,2019-01-11,1,4,1,1,0,0,0,경기,광주시,0,2,1,1,2,1,0,127.2525,37.392,경기광주시,0,1,0,0,0,9,1,0
74,2019-01-11,1,4,1,1,0,0,0,경기,고양시,0,2,0,2,4,0,0,126.84,37.6487,경기고양시,0,0,0,0,0,40,1,1
77,2019-01-11,1,4,2,2,0,0,0,제주,서귀포시,0,1,0,0,0,0,0,126.3538,33.2843,제주서귀포시,0,0,0,0,0,62,1,1
79,2019-01-11,0,4,1,1,0,0,0,충남,천안시,0,1,0,0,0,2,0,127.1328,36.8077,충남천안시,0,2,0,0,0,63,1,1
85,2019-01-12,1,5,1,1,0,0,0,경북,안동시,0,3,2,0,0,0,0,128.6487,36.4791,경북안동시,0,0,0,1,0,66,0,0
87,2019-01-12,0,5,1,1,0,0,0,경기,화성시,0,1,0,0,0,0,0,126.9395,37.1946,경기화성시,0,0,0,1,0,50,1,1
89,2019-01-12,0,5,1,1,0,0,0,경기,김포시,0,2,0,0,0,0,0,126.6994,37.623,경기김포시,0,0,0,1,0,47,1,1
90,2019-01-12,0,5,1,1,0,0,0,인천,남동구,0,0,0,1,1,2,0,126.7225,37.4036,인천남동구,0,2,0,1,0,29,1,1
91,2019-01-13,0,6,1,1,0,0,0,충북,충주시,0,1,0,0,0,0,0,127.7932,36.9786,충북충주시,0,0,0,1,0,6,1,1
93,2019-01-13,1,6,1,1,0,0,0,충남,금산군,0,2,0,0,0,1,0,127.5681,36.0378,충남금산군,0,1,0,1,0,68,1,1
96,2019-01-13,1,6,1,1,0,0,0,경기,남양주시,0,1,0,0,0,0,0,127.3039,37.5647,경기남양주시,0,0,0,1,0,70,1,1
97,2019-01-13,1,6,1,1,0,0,0,인천,부평구,0,0,0,0,0,0,0,126.7036,37.4939,인천부평구,0,0,0,1,0,44,1,1
106,2019-01-14,1,0,1,1,0,0,0,강원,삼척시,0,0,0,1,3,0,0,129.1678,37.4415,강원삼척시,0,0,0,0,0,78,1,1
110,2019-01-14,1,0,1,1,0,0,0,서울,구로구,0,0,0,1,1,0,0,126.8872,37.4897,서울구로구,0,0,0,0,0,79,1,1
118,2019-01-15,0,1,1,1,0,0,0,충북,청주시,0,0,2,1,3,0,0,127.4659,36.6479,충북청주시,0,0,0,0,0,83,1,1
126,2019-01-16,1,2,1,1,0,0,0,인천,중구,0,0,0,1,2,1,0,126.6019,37.4551,인천중구,0,1,0,0,0,72,1,1
127,2019-01-16,0,2,1,1,0,0,0,경남,창원시(통합),0,1,0,0,0,0,0,128.6563,35.3049,경남창원시(통합),0,0,0,0,0,86,1,1
130,2019-01-16,0,2,1,1,0,0,0,서울,강남구,0,0,0,0,0,0,0,127.0633,37.5082,서울강남구,0,0,0,0,0,89,1,1
131,2019-01-16,0,2,1,5,2,0,0,제주,제주시,0,1,2,1,1,0,0,126.5411,33.507,제주제주시,1,0,0,0,0,90,1,1
132,2019-01-17,0,3,1,1,0,0,0,서울,강동구,0,0,2,1,3,0,0,127.1498,37.5317,서울강동구,0,0,0,0,0,91,1,1
133,2019-01-17,0,3,1,1,0,0,0,충남,아산시,0,1,0,2,4,0,0,127.0553,36.844,충남아산시,0,0,0,0,0,53,1,1
134,2019-01-17,0,3,1,1,0,0,0,인천,남동구,0,2,0,0,0,1,0,126.708,37.4521,인천남동구,0,1,0,0,0,29,1,1
135,2019-01-17,1,3,1,1,0,0,0,경남,고성군,0,4,3,1,3,0,0,128.1869,34.9994,경남고성군,0,0,0,0,0,87,0,0
139,2019-01-17,1,3,1,1,0,0,0,경기,동두천시,0,1,5,1,2,0,0,127.0608,37.9332,경기동두천시,0,0,0,0,0,94,1,1
140,2019-01-17,1,3,1,1,0,0,0,경기,화성시,0,0,1,1,3,0,0,126.7368,37.2131,경기화성시,0,0,0,0,0,50,1,0
141,2019-01-17,0,3,1,1,0,0,0,경기,성남시,0,0,0,0,0,0,0,127.1015,37.3525,경기성남시,0,0,0,0,0,95,1,1
142,2019-01-18,0,4,1,1,0,0,0,서울,구로구,0,1,0,1,1,0,0,126.8562,37.4901,서울구로구,0,0,0,0,0,79,1,1
143,2019-01-18,0,4,1,1,0,0,0,부산,금정구,0,0,2,1,1,0,0,129.0915,35.2579,부산금정구,0,0,0,0,0,96,1,1
144,2019-01-18,0,4,1,1,0,0,0,부산,사하구,0,0,2,0,0,0,0,128.9762,35.1027,부산사하구,0,0,0,0,0,25,1,1
145,2019-01-18,1,4,1,1,0,0,0,인천,서구,0,0,1,1,3,1,0,126.6672,37.5958,인천서구,0,1,0,0,0,97,1,0
150,2019-01-18,1,4,1,1,0,0,0,경기,수원시,0,1,1,1,3,2,0,127.011,37.293,경기수원시,0,2,0,0,0,99,1,0
151,2019-01-18,0,4,1,1,0,0,0,경북,김천시,0,2,0,0,0,0,0,128.2594,36.1655,경북김천시,0,0,0,0,0,76,1,1
155,2019-01-19,1,5,1,1,0,0,0,전남,무안군,0,2,0,1,1,0,0,126.4735,34.9873,전남무안군,0,0,0,1,0,101,1,1
156,2019-01-19,0,5,1,1,0,0,0,전남,여수시,0,0,0,0,0,0,0,127.7045,34.7707,전남여수시,0,0,0,1,0,102,1,1
158,2019-01-19,0,5,1,1,0,0,0,충북,제천시,0,0,0,1,2,2,0,128.1988,37.1043,충북제천시,0,2,0,1,0,103,1,1
159,2019-01-19,0,5,1,3,1,0,0,경기,시흥시,0,1,3,1,1,4,0,126.8001,37.4373,경기시흥시,0,4,0,1,0,73,1,1
160,2019-01-19,0,5,1,1,0,0,0,경기,안산시,0,0,0,1,3,0,0,126.8484,37.3279,경기안산시,0,0,0,1,0,2,1,1
162,2019-01-20,0,6,1,1,0,0,0,강원,속초시,0,3,0,1,2,0,0,128.5776,38.2049,강원속초시,0,0,0,1,0,104,0,0
163,2019-01-20,1,6,1,1,0,0,0,경북,의성군,0,2,0,0,0,0,0,128.7885,36.439,경북의성군,0,0,0,1,0,105,1,1
167,2019-01-20,1,6,1,1,0,0,0,충북,충주시,0,1,0,1,1,0,0,127.932,36.9871,충북충주시,0,0,0,1,0,6,1,1
169,2019-01-20,0,6,1,1,0,0,0,대구,서구,0,2,0,0,0,0,0,128.5599,35.8882,대구서구,0,0,0,1,0,107,1,1
172,2019-01-21,1,0,1,1,0,0,0,경기,광명시,0,0,0,0,0,1,0,126.873,37.4731,경기광명시,0,1,0,0,0,81,1,1
174,2019-01-21,1,0,1,1,0,0,0,서울,금천구,0,0,1,2,4,1,0,126.8872,37.4722,서울금천구,0,1,0,0,0,109,1,0
176,2019-01-21,0,0,1,1,0,0,0,충남,금산군,0,1,0,0,0,0,0,127.5167,36.0294,충남금산군,0,0,0,0,0,68,1,1
180,2019-01-22,0,1,1,1,0,0,0,경기,성남시,0,0,0,0,0,0,0,127.1222,37.411,경기성남시,0,0,0,0,0,95,1,1
181,2019-01-22,1,1,1,1,0,0,0,대구,북구,0,0,0,0,0,1,0,128.5605,35.929,대구북구,0,1,0,0,0,112,1,1
182,2019-01-22,1,1,1,1,0,0,0,경기,의정부시,0,0,0,1,2,2,0,127.0698,37.7527,경기의정부시,0,2,0,0,0,64,1,1
183,2019-01-22,1,1,1,1,0,0,0,경기,성남시,0,0,3,1,1,2,0,127.1039,37.3427,경기성남시,0,2,0,0,0,95,1,1
185,2019-01-22,1,1,1,1,0,0,0,경북,영주시,0,0,0,1,1,1,0,128.6179,36.8233,경북영주시,0,1,0,0,0,113,1,1
189,2019-01-22,0,1,1,1,0,0,0,서울,금천구,0,1,0,1,1,0,0,126.9087,37.4511,서울금천구,0,0,0,0,0,109,1,1
