발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호
2019-01-06,주간,일,1,7,2,1,0,강원,횡성군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,128.2572,37.581,강원횡성군,1,승용차승용차,0,1,0,31
2019-01-10,야간,목,1,7,2,1,0,경기,용인시,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,127.24,37.2471,경기용인시,1,화물차보행자,0,0,0,51
2019-01-10,야간,목,1,5,2,0,0,경북,상주시,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,128.2907,36.377,경북상주시,1,승용차승용차,0,0,0,58
2019-01-12,주간,토,1,5,2,0,0,강원,원주시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,127.9284,37.3581,강원원주시,1,승용차화물차,0,1,0,36
2019-01-12,주간,토,1,9,3,1,0,경기,광주시,차대차,추돌,안전운전 의무 불이행,단일로,터널안,건설기계,승용차,127.3098,37.3736,경기광주시,1,건설기계승용차,0,1,0,9
2019-01-12,야간,토,1,7,0,3,0,경기,화성시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,126.7006,37.1499,경기화성시,1,승용차승합차,0,1,0,50
2019-01-14,야간,월,2,6,2,0,0,경북,김천시,차대차,추돌,기타,단일로,고가도로위,화물차,화물차,128.1758,36.1503,경북김천시,1,화물차화물차,0,0,0,76
2019-01-16,야간,수,1,8,0,3,1,전남,화순군,차량단독,도로이탈,과속,단일로,기타단일로,승용차,없음,127.1325,34.9981,전남화순군,1,승용차없음,0,0,0,88
2019-01-16,야간,수,1,5,2,0,0,제주,제주시,차대사람,기타,과속,교차로,교차로내,승용차,보행자,126.5411,33.507,제주제주시,1,승용차보행자,0,0,0,90
2019-01-17,주간,목,1,9,2,2,0,서울,동작구,차대차,추돌,과속,교차로,교차로내,승용차,승용차,126.978,37.4818,서울동작구,1,승용차승용차,0,0,0,93
