발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호
2019-01-12,야간,토,2,10,4,0,0,대구,달성군,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승합차,128.4698,35.6937,대구달성군,2,승용차승합차,0,1,0,30
2019-01-13,야간,일,1,15,4,3,0,경기,하남시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,127.2398,37.488,경기하남시,2,승용차화물차,0,1,0,67
2019-01-24,야간,목,3,13,4,1,0,강원,삼척시,차대차,측면충돌,안전거리 미확보,단일로,지하차도(도로)내,화물차,승용차,129.189,37.4246,강원삼척시,2,화물차승용차,0,0,0,78
2019-03-12,야간,화,2,12,5,0,0,경북,경산시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,128.757,35.8197,경북경산시,2,승용차승용차,0,0,0,52
2019-03-23,주간,토,1,22,0,7,7,경기,용인시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.1037,37.3325,경기용인시,2,승합차승용차,0,1,0,51
2019-04-05,주간,금,1,18,0,1,15,경기,용인시,차대차,기타,안전거리 미확보,단일로,기타단일로,건설기계,승용차,127.1037,37.3298,경기용인시,2,건설기계승용차,0,0,0,51
2019-05-15,야간,수,2,12,3,2,0,인천,연수구,차대차,정면충돌,신호위반,교차로,교차로내,승합차,승합차,126.6647,37.3859,인천연수구,2,승합차승합차,0,0,0,35
2019-05-21,주간,화,1,13,4,2,0,전남,곡성군,차량단독,공작물충돌,과속,단일로,기타단일로,승용차,없음,127.1447,35.2825,전남곡성군,2,승용차없음,0,0,0,147
2019-06-07,주간,금,1,18,3,5,1,경기,평택시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.0993,37.1255,경기평택시,2,승용차승용차,0,0,0,14
2019-06-17,주간,월,1,18,0,6,5,경기,파주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,126.8647,37.8456,경기파주시,2,승합차승합차,0,0,0,175
2019-06-18,야간,화,2,64,17,14,0,충남,아산시,차대차,측면충돌,신호위반,교차로,교차로내,화물차,승합차,127.0939,36.8298,충남아산시,2,화물차승합차,0,0,0,53
2019-07-04,주간,목,1,26,2,10,1,경남,양산시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,129.0488,35.37,경남양산시,2,승용차승용차,0,0,0,49
2019-07-20,야간,토,1,15,5,2,0,서울,영등포구,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,126.9032,37.5355,서울영등포구,2,승합차없음,0,1,0,150
