주야,요일,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,사고피해정도,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
0,1,5,0,0,0,2,126.8571,37.2883,0,0,1,0,2,0,0
1,1,0,1,2,0,12,128.6092,35.6501,0,0,1,0,3,0,0
0,2,0,0,0,5,3,127.8268,37.0295,0,0,0,0,6,0,0
1,2,0,0,0,0,12,126.7064,37.5254,0,0,0,0,7,0,0
1,2,5,1,2,7,2,127.2568,37.4168,0,0,0,0,9,0,0
1,2,0,0,0,1,1,126.6255,36.1507,0,0,0,0,10,0,0
0,2,0,0,0,0,5,126.8838,35.6968,0,0,0,0,12,0,0
0,2,0,0,0,1,5,128.8078,35.3166,0,0,0,0,13,0,0
0,3,5,0,0,0,1,126.3878,34.7408,0,0,0,0,16,0,0
1,3,0,0,0,0,1,129.2136,35.649,0,0,0,0,17,0,0
0,3,6,0,0,4,3,127.1256,36.5076,0,0,0,0,19,0,0
0,4,6,1,3,7,2,126.7943,37.3347,0,0,0,0,2,0,0
1,4,0,0,0,3,2,128.4802,36.0257,0,0,0,0,21,0,0
1,4,6,1,1,1,2,126.9529,37.0396,0,0,0,0,14,0,0
0,5,0,0,0,0,1,127.1206,35.8338,0,0,1,0,11,0,0
1,5,0,2,4,1,3,128.6476,35.9462,0,0,1,0,26,0,0
1,5,0,0,0,1,3,127.5473,34.9083,0,0,1,0,27,0,0
0,6,0,0,0,0,1,127.0634,35.7935,0,0,1,0,28,0,0
1,6,2,1,1,4,11,128.4355,35.6303,0,0,1,0,30,0,0
1,6,5,0,0,0,2,128.2572,37.581,1,0,1,0,31,0,0
1,6,0,0,0,6,1,127.6964,36.445,0,0,1,0,32,0,0
1,6,6,1,1,1,2,126.6918,34.9711,0,0,1,0,33,0,0
0,6,0,0,0,0,1,127.9798,37.412,0,0,1,0,36,0,0
0,0,6,1,1,2,4,128.6261,34.8879,0,0,0,0,15,0,0
0,0,0,0,0,0,4,126.8571,37.645,0,0,0,0,40,0,0
0,0,0,1,1,0,3,127.4338,37.2316,0,0,0,0,41,0,0
0,1,0,0,0,0,1,128.2479,35.1895,0,0,0,0,42,0,0
0,1,0,0,0,2,4,126.7149,37.4911,0,0,0,0,44,0,0
1,1,0,0,0,7,9,126.7839,36.9447,0,0,0,0,46,0,0
0,1,0,1,1,0,4,127.1186,36.991,0,0,0,0,14,0,0
0,1,0,1,1,1,4,127.2429,37.0126,0,0,0,0,23,0,0
1,3,0,0,0,0,1,127.0003,36.8771,0,0,0,0,53,0,0
1,3,0,0,0,4,1,129.4028,36.5969,0,0,0,0,54,0,0
1,3,0,0,0,1,5,128.416,36.6365,0,0,0,0,55,0,0
1,3,0,1,1,7,2,126.9097,34.68,0,0,0,0,56,0,0
1,3,0,0,0,0,7,127.9691,35.0392,0,0,0,0,57,0,0
0,3,2,2,4,0,2,127.7747,36.9629,0,0,0,0,6,0,0
0,3,6,1,1,0,2,128.2907,36.377,1,0,0,0,58,0,0
0,3,0,1,2,1,11,126.7834,36.9452,0,0,0,0,46,0,0
0,4,0,0,0,5,3,129.0087,35.9097,0,0,0,0,5,0,0
1,4,6,1,1,0,2,127.0463,37.8106,0,0,0,0,59,0,0
1,4,0,1,1,1,7,127.4439,36.9889,0,0,0,0,60,0,0
1,4,0,0,0,1,4,127.1062,36.2371,0,0,0,0,61,0,0
0,4,6,1,1,1,2,128.4029,35.9379,0,0,0,0,21,0,0
0,5,6,1,1,0,6,128.4698,35.6937,2,0,1,0,30,0,0
0,5,0,0,0,0,9,127.0341,37.7291,0,0,1,0,64,0,0
1,5,0,1,3,0,5,126.7786,37.4956,0,0,1,0,65,0,0
1,5,5,0,0,0,3,127.9284,37.3581,1,0,1,0,36,0,0
1,5,0,0,0,4,9,126.8508,37.6162,0,0,1,0,40,0,0
1,5,0,0,0,3,2,127.3098,37.3736,1,0,1,0,9,0,0
0,5,5,0,0,0,6,126.7006,37.1499,1,0,1,0,50,0,0
0,6,0,0,0,0,3,127.2398,37.488,2,0,1,0,67,0,0
1,6,0,2,4,0,11,126.7572,37.6204,0,0,1,0,47,0,0
1,6,0,1,2,7,1,126.5708,36.7731,0,0,1,0,69,0,0
0,6,0,0,0,9,1,126.2413,34.4846,0,0,1,0,71,0,0
0,6,0,1,1,0,1,126.6274,37.4538,0,0,1,0,72,0,0
0,0,0,0,0,4,2,126.7873,37.4395,0,0,0,0,73,0,0
0,0,0,1,1,0,1,128.1887,36.596,0,0,0,0,74,0,0
0,0,0,0,0,1,11,127.8375,36.2661,0,0,0,0,75,0,0
0,0,0,0,0,1,3,128.1758,36.1503,1,0,0,0,76,0,0
1,0,0,2,4,4,9,126.7348,37.626,0,0,0,0,47,0,0
1,0,6,1,2,1,5,127.3946,36.4385,0,0,0,0,77,0,0
1,0,0,0,0,1,1,127.4822,35.0025,0,0,0,0,27,0,0
1,0,0,1,1,0,4,127.0995,36.1334,0,0,0,0,61,0,0
1,0,0,0,0,0,1,128.1811,37.4143,0,0,0,0,31,0,0
1,0,0,0,0,8,1,129.3002,36.4063,0,0,0,0,54,0,0
0,0,0,2,4,9,1,126.7928,36.1733,0,0,0,0,10,0,0
0,1,0,0,0,1,1,126.9861,37.0339,0,0,0,0,14,0,0
0,1,0,0,0,0,1,127.4405,36.3285,0,0,0,0,80,0,0
1,1,0,0,0,3,4,126.8618,37.4772,0,0,0,0,81,0,0
1,1,0,0,0,0,1,127.7849,37.6325,0,0,0,0,82,0,0
0,1,5,0,0,1,2,126.993,37.1689,0,0,0,0,50,0,0
0,1,0,0,0,0,1,127.1854,36.8572,0,0,0,0,63,0,0
0,2,0,1,2,0,1,127.0244,37.5446,0,0,0,0,84,0,0
0,2,0,0,0,0,2,129.1408,35.3581,0,0,0,0,85,0,0
1,2,0,0,0,1,3,126.7874,37.5916,0,0,0,0,47,0,0
1,2,0,0,0,1,3,126.6101,34.8622,0,0,0,0,16,0,0
1,2,0,0,0,4,1,126.7539,37.6749,0,0,0,0,40,0,0
1,2,0,0,0,1,1,126.1033,34.4298,0,0,0,0,71,0,0
0,2,0,0,0,1,3,128.2829,34.9335,0,0,0,0,87,0,0
0,2,2,0,0,0,1,127.1325,34.9981,1,0,0,0,88,0,0
1,3,5,0,0,0,2,127.5281,37.2192,0,0,0,0,22,0,0
1,3,0,0,0,1,5,126.4246,37.8062,0,0,0,0,92,0,0
1,3,2,1,1,0,2,126.978,37.4818,1,0,0,0,93,0,0
1,4,5,0,0,7,2,127.5061,37.2413,0,0,0,0,41,0,0
1,4,0,0,0,4,1,127.0349,37.638,0,0,0,0,98,0,0
